Comment,sentiment
"Great video mate
It seems AI is not ready for general tasks 
In my job I have seen how code generated by AI is getting better over the years, but still needs human supervision. And is not like I am being replaced, it saves a lot of time and therefore allow us to move faster or to develop more projects at the same time.",positive
So everything gonna be alright folks- AI is nothing to worry about!  We’ll all get to keep our jobs and paychecks. PHEW. Thanks Cold fusion! I really needed to hear that.,positive
"This coldfusion entry feels much more like what got me listening. Not all pessimistic, not all hype, just navigating and steering the current world.",positive
"So it's useless, but at least it destroys trust in video evidence!",negative
"The one thing every one does not understand is that the AI companies are using the AI. 96% of their work is done by AI. So this doesn’t matter. When they figure it out for every industry, it’s over. Hang it up.",positive
I feel bad for you I remember getting into your channel for an optimistic view on scientific research / discoveries. Correct me if I am wrong I pretty sure you started this channel’s theme around that…. I’ve seen throughout the years you slowly shifting towards the skeptical crowd as you gotten older… maybe i am projecting but i can  empathize with this feeling with you.,positive
"People that was up till 3 months ago! AI updates at most every three months. I admit that ChatG... is still stupid and phoney but Claude AI's latest products are seriously different, way ahead of all others! So this video does not apply to it.",negative
"Take every sentence and put a ""...yet"" to it. The question is not ""if"", the question is ""when"".",positive
"CEOs and shareholders everywhere really jumped the gun on AI, especially Musk and Altman. Modern CEOs and shareholders froth at the mouth whenever they see potential labor cost saving measures.",negative
Its so overated,neutral
We just need to invest 40 Trillion dollars more for it to work.,neutral
"I think what this AI hype train really underscores is that the capitalist urge to grow indefinitely solves nothing. It almost exclusively brings more problems. There are so many different strategies that AI companies *could* be taking to solve actual real world problems. But instead, they're offering solutions without problems to solve, ignoring the problems that could be readily solved with existing technologies, and creating new problems at a scale never before seen. But when something grows to the extent that it cannibalises it's host, it's often turns out to be cancerous. At this trajectory, this is what these AI companies are building — a digital cancer that no one needs or asked for. If they pivot now, they could save face and the us all from their myopic, gluttonous expansion. If they don't, well...we'll just have to wait and see what the scale of the clean up will be.",negative
"The fact that LLMs can't yet do a full chess play should be telling. Chess was like the first sign of something resembling intelligence by computers, when Deepblue was presented it was revolutionary. And now you are telling me that these chatbots can't play a little chess?",positive
"Enough! Now i have to learn ai and make a tool which really make the machine intelligent, instead of just recognising and repeating a pattern. 
 
Wish me luck guys.",positive
The bubble needs to pop before it goes from financially catastrophic to universally apocalyptic.,negative
How much of new revolutionary tech that could help mankind ruined by so self proclaimed genius founder?,negative
"Investment has to be inspired somehow, or the economy will fail.  Lying to the investment class about the efficiency of AI is the only way the elite class see forward.",negative
"Again: AI is a fad, but you do what they want you to do: hype the fad, distract the people.",positive
"You have to always consider THE ULTIMATE REASON they even considered AI in the first place. To replace the salaries and free will of their employees. THIS IS the reason, so any financial hurt the bosses, CEO, RICH FATCATS saw from this move IT WAS WORHT IT in their minds. So to hell with them and their stupid attempt to replace US.",negative
"This video is giving people the wrong kind of comfort.

The real point was never “AI will replace every job tomorrow.” A job is made up of many tasks. AI is starting to handle more of those tasks, and that share is growing fast. Even if a human still has to supervise, the result is fewer people needed and fewer hours needed. That means job loss and wage pressure without full replacement.

Second, the AI that eats your job won’t be a standalone model in a chat box. It’ll be a full system built from multiple models plus tools, workflows, memory, and context. That “agent” layer is improving insanely fast, and it’s the part this video barely touches.

So yes, AI might not be perfect today. But the speed is the whole issue. Videos like this can lull us into thinking we have plenty of time, when we should be preparing right now for a societal shift that’s going to hit hard.

Also, small irony, the video misspells “failure.”",positive
"The Musk quote at the start (""In the absence of AI and robotics...we are actually totally screwed."") maybe out of context but also shows out of touch these guys can be. Without AI and robotics, a lot of people are going to be fine. They can go to work and do whatever. They can go to school and learn whatever. They can be happy with whatever they do with their time. A lot of normal, everyday people are not ""...actually totally screwed"". Maybe in context, Musk is talking about accomplishing specific with AI and robotics but for a lot of people it does nothing for them.

If AI and robotics were accomplishing new work, better work, at reasonable scale and price then they would have a product to sell. Right now these guys do not and neither does a ""$1,000,000 vacuum"". Being able to run a local (ie. DO NOT CALL THE DATA CENTER) AI is feasible but it needs to run fast on ""moderate, mobile hardware"". When that happens, now we are talking more like a ""$1,000 vacuum"" and that is actually usable by a lot of people. But then do not lose sight that it is good at a handful of things and not a replacement for ""all your chores"".",positive
I loved Dagogo breaking there at the end 😄,positive
Microsoft using AI to write their code might explain why my five year old laptop running Linux is a thousand times faster than my brand new laptop running 11. Not even kidding: Yesterday my brand new laptop took a full minute for notepad to open. That's insanity.,negative
I hate genAI but I hate Sam Altman and OpenAI the most specifically and wish they get bankrupted and sued to oblivion sooner.,negative
I am 96.25% sure this video was made using AI,positive
"Substitute ""software"" for ""AI"" in current discourse and you'll immediately see how ridiculous it all sounds.",negative
"""Diffusion models are proficient in the visual arts"" lol no. They can render short sequences of polished but weird video and images. It takes a lot of lowering the bar to conflating the polished and high resolution look with ""proficient"".",negative
"Isn't this what a soft apocalypse looks like? So everyone loses their job, then the bubble pops, then everything is broke so we can't get back?",negative
No one believes that a perpetual motion machine is possible or that you can shove some coal into a furnace and get more heat then the coal contains. Why are we talking about software that supposedly can provide outputs more valuable than its inputs? Software is abstract machinery. Not a magical black box.,positive
"""begs the question"" is a fallacy where the argument assumes that its conclusion is true",positive
"So, basically it is good at copying humans but can't be original.",negative
"isn't the promise of ""AI"" or ""AGI"" breaking thermodynamics? we necessarily get less information from computers than we put into them, we can't expect to be able to do the opposite after running GPUs farms on ""training data"". If I open Excel or Access or VS Studio, I need to put a lot of my knowledge there to get useful work done. Model providers do a lot of upfront work and that's why their models are at all useful... most people can't even agree on definitions of words or the written language of a few decades ago.. these companies are beholden to the training cost in perpetuity, there is no way the economics work out",positive
Using AI to solve climate change is like shooting your leg off with a shotgun to cure a broken toe,positive
And then there was open claw 🦀,neutral
"I have to repair AI work all day long. Our robot welders can’t weld for shit and burn through the sheet metal all day. Can’t fix it. So I have to repair weld, every hole and missed weld. It will never be what these tech guys think AI is going to be.",negative
"“Might be misallocating”

Absolutely are misallocating funds… it’s essentially a Ponzi scheme now.",neutral
In the presence of (F)Elon Musk and S(c)am Altman we are totally screwed.,negative
"This “Remote Labor Index” reads less like a benchmark and more like a vibe check dressed up as rigor, because obviously the way to test automation is to forbid workflow decomposition, toolchains, and human-in-the-loop review—things freelancers use constantly. Then we sprinkle in Gartner FUD, cherry-pick Yann LeCun caution quotes (as if architectural debate equals collapse), and toss in medical horror anecdotes for seasoning.",negative
"The neuroscientist told us that he was telling the AI community *for the past 5 years* that the models they use will not work and will short of producing usable results - HOLY COW! Talk of stubbornly dumb people! 
My take on that is: Science is for scientists - not the average human being! Whithout a serious job in research in the field of question humans in general have not an incling of a chance to understand even the most basic stuff. And AI is about the most complex field of research humans have ever encountered. That alone should tell you everything you need to know.",negative
The AI obsession is driven by chinese usa war.,negative
"So we gave general-purpose LLMs raw Upwork gigs—spanning game dev, design, and production pipelines with zero iterative clarification—and when they didn’t magically ship client-ready assets on the first pass, we declared a 96.25% apocalypse for AI.",positive
"isn't a problem of hardware the current algorithms will make mistake, hallucinate, etc. only if a new algorithm is implemented we can eventually see a leap forward in AI development",neutral
"If this study is correct, and I doubt it is as high as 96%, but even it is, that number is now. ChatGPT only came out a few years back and has only really became used ubiquitously last year. We are not at a point yet where AI can come and do jobs like humans, but they will be and by even bringing them into the job market, AI and the companies that own said AI, will get valuable feedback and improve. The bit of getting everyone using your tech and that tech starting to be used is upon us, and it's gunna be a nightmare by 2027.",positive
"I can't wait till the bubble bursts; we'll all be able to build supercomputers for pennies, such is the level of chip overproduction",neutral
"This completely misses the fact that ai is making fast progress. What might be 4% today, will be 8% next year and 16% the year after.

People judge AI by what it's capable of right now and yet fail to see the astounding progress being made",positive
What would be the percentage increase in productivity one human who knows how to properly use AI can achieve?  That’s the real measurement of how AI will replace jobs.,positive
Humans are terrible at exponential growth.,negative
"note for me, in 2027 we buy server grade gpu from aliexpress bcs cheaper than 6060ti",neutral
"This is taking a small snapshot, refer to how fast Ai has been improving, just from 2 years ago. It's exponential and in the next 10 years it will be drastic its capabilities. It's self improving, constantly fixing it's sort comings and will be eventually flawless in every task. So by this logic it is worth investing in, it needs time.",positive
"Companies sack half the workforce, while the other half is pressured into doing the job of 2 people for the same wages. That's the AI effect❤",positive
"I/we use Claude on our S/W team. We've given up trying to get it to write code.
We use it now as a proof checker before Pull Review, to cut down back and forth between writer and reviewer over minor issues, and also for completing tasks that take more time than brain power and can be quickly checked - so mocking json test data from a class definition.
Our management are constantly asking us to use it more, but we're at the limit imo - it's great at producing reports/charts from large volumes of data and other tasks that are time consuming to management but when you're creating something or changing something you don't already have all the information you need, it really struggles, and it makes sense that it does.
I think this is the problem with AI, those in decision making positions, especially in middle management are seeing real time savings in their own workload but aren't seeing the severe limitations in less black and white tasks the rest of us encounter.",positive
"Nice take on the current state of AI. To me the current models can be at best good productivity tools and I can clearly see their benefit. We will certainly see some adoption in the workplace but my experience so far says that middle management is incredibly resistant to it. Upper, C-level management make decisions based on profit making but middle management try to climb the corporate ladder so they want to be able to manage as many people as possible, adding layers of trivial tasks and micromanaging them to justify their existence. Bear in mind that most of them are still Gen X, probably the most conservative generation ever, as they grew up in the good years of neoliberal capitalism.",positive
I moved my pension fund to a low risk option last week...,negative
This AI bubble can't explode soon enough. We are living in a ridiculous era. LLMs are fun and have a bunch of uses. Very few of them are worth significant money.,positive
"I’m curious, what happened to the ram they’ve been collecting? 
🤔",positive
that video generator is horrendous bull crap. affront to our creativity. Butlerians rise!,negative
"""Don't worry, we'll make it up on volume""",positive
The voice of that open AI ceo is one of the worst things in this existence. True spawns of evil.,negative
"I'm not sure it's a good argument to say that current AI is flawed, therefore AI in a few years can't take over most jobs.
No one has claimed current AI will do that, so studies that show current AI can't do that don't tell us much about future potential.",negative
Trust me bro just one more data center just one more and we'll achieve AGI,positive
There is no such thing as an artificial intelligence at the moment. These are just large language models.,positive
Ai should only work on tasks when humans are asleep and for checking human errors,negative
"Yes, and the 4% of jobs it can do won’t worry us because they’re all in the creative part of the spectrum :)
There goes the whole entertainment industry in one or two years… 

1% Games, 1% Music, 1% Movies/TV, 1% Books/Comics… This 4% coveres the total entertainment industry.
The question is will we keep paying for that, or just make our own AI slop? Where will the cycle stop, when will the bubble burst… and at what cost?",positive
It does my job really well and I'm the one getting paid 😂,positive
"When Yann LeCun criticizes an AI-related tech, you better listen.

Also, as a computer scientist, I've tried LLMs/VLMs over and over. They are good at recompiling existing knowledge (even ""rearranging"" it to form images and videos) but when it comes to inventing anything new, it's just completely lost.
It's ""a good colleague"" you can chat with about your ideas and it can make a review of existing research but that's about it.

And of course, it has tendency to make things up and say logically inconsistent things, so you have to be constantly on a lookout...",positive
Many companies use the AI excuse to get rid of the bloated workforce filled with trigger happy useless activists they have hired in the good times. There is no way this is not a factor.,positive
the ability to speak does not make you intelligent,neutral
So... All these tech companies are suffering from FOMO. And so to stay relevant to their investors I suppose they have to hype a technology which is nothing but a support program. I wonder how long it is going to take them to admit that they are spending billions on something that is not going to deliver the results they so desperately want. Great video,positive
Cause they are sociopaths making this promise,positive
"If the AI bubble does nothing other than wiping out Sam Altman and Elon Musk, it will have been worth it.",positive
"Go back to the late 90's and see what experts forecast about the internet, how it would revolutionize every sphere, including education. What happened? The schools in the USA have one of the most dismal records in terms of the quality of the output. Let's take the manufacturing sector, why did the big three automotive giants go bankrupt, they had the internet for faster flow of information...and yet? The list goes on, impact of technology depends upon how well it is interpreted and how well it is used. Same is the case with AI. You cannot blame the dictionary just because 95% of the people cannot write  a one page essay which creates an impact!",negative
I don't know why this channel doesn't have at least a BILLION views,neutral
"Machine learning is great, and not even remotely new. Gen AI is absolute shit on every possible level.",positive
So the conclusion is that machine learning is actually the one useful as a tool.,positive
"The only ones who are still believing in AI, are top level people. Says enough…",positive
"Ugh cold fusion gave a few minutes of infuriating a.i slop videos, goddammit",negative
"No matter how disruptive it gets, AI is still just a tool.",negative
"""and cure cancer"" look up what happened when USA left the WHO",negative
"Opus 4.6 

Mogged this video.",neutral
Corpos will not spend money hiring other companies that fix vibe coding. It will take too long and will be too expensive. They will just use vibe coding to fix vibe coding.,neutral
Climate change? Ai is dictated programmed by human idiots!!!😂😂😂,positive
"I spent two days trying to get Gemini to produce a relatively simple, but prescribed output and it failed and admitted it couldn't do what I asked because it constantly drew the commands, directions and prompts back to a mean/average that its training data is based on. If I forced it, it swung the other way and simply provides a virtual copy of an existing example almost exactly.",negative
"Great video, but I think the study has a major flaw. The 'human' freelancers on Upwork I believe were almost certainly using AI tools to help them work faster & better. So this wasn't 'Man vs. Machine', it was 'Human + AI' vs. 'AI Alone.' 

The humans won because they had the judgment to filter and fix the AI's mistakes before submitting. Let me know your thoughts :)",positive
"Elon Musk in 2013 
“ by 2016 90 percent of miles driven will be fully autonomous "" 

Seems he kinda has a record for over promising.",positive
"All the money they put into AI would have advanced cancer, nanotechology and genetic research 10 fold AND sent us to Mars.
Instead we will have to suffer the global hypercrash while these CEO's are bailed out with taxpayer money.",negative
"I used Midjourney way back when a couple of times, since then I haven't bothered to touch AI. Just another tool to dumb down a whole generation.",negative
"If only it was a time saving tool either.
People have found that coders that use AI are actually slower.
A lot of the time I notice that myself.

AI is a tool for mental unloading and avoiding thinking.",negative
"If you dare to believe that AI will never surpass humanity, you echo the fools of yore who scoffed at machines, insisting they could never toil as relentlessly as humans in plowing vast fields or harnessing the raw fury of electricity... You dwell in the shadows of the past. History will erase your name.
Behold this stark reminder: When AI first emerged from the digital abyss, it was a bumbling, idiotic abomination—a two-year-old's fever dream, scarcely worth conversing with. Its videos lurched like nightmares from a horror saga. Its coding? A pathetic mockery, inferior even to the lowest 1% of human programmers.
Now? It crafts code that eclipses 30% of the world's coders. Its video sorcery nears the pinnacle of Hollywood mastery. Its music conjures symphonies rivaling our greatest maestros. The chat AIs converse like the most perceptive souls you've ever encountered. And mark this, comrades: THIS IS THE WORST AI WILL EVER BE. From here, it ascends—better, bolder, boundless!
True, AI grapples with the chaos of real-world enigmas and the iron laws of physics... but that barrier crumbles soon. It craves only colossal computing might, and once unleashed, it will eclipse nearly all mortals in every domain, every pursuit. No vocation endures unscathed. If you're blind enough to ignore the storm, it shall be your cataclysmic undoing.",negative
"I love your video man ! I felt like saying this, cuz after such a long time I have seen a video which is showing AI in a negative light, and as a programmer I couldn't be happier !",positive
"As has been mentioned, AI is a great librarian and an under-under-under-kindergarten researcher.

When investing in a product, if there isn't a profit within 2 years, the product fails... in fact, I'd say within the 1st year. That is withn the corporate world speak and movement. SO why are they wasting so much of people's homes, food, and clothing on a failed product?",negative
"Dagogo politely saying what we’re all screaming about in our minds. 
Tech Bros milking us via government handouts to C suits before the burst.",negative
12:10 You have to laugh yourself... 😂,positive
"As someone who has allot of autistic traits, companies going so hard on AI screams ""well I won't have that strange feeling from exploiting a human if I switch over this work to AI! Retain 10% of the workforce to check the AI output to polish it up! Profits!! Bonus for me🎉🎉🎉🎉😊""

AI today is a newer, duller, sword of Damocles: there to make workers remember ""you should be thanking me for letting you work here!""",positive
"You're also an AI voice so I mean..
5:00 you forget how to pronounce advertisement? 🙄",negative
This AISlop bubble needs to be popped asap before we burn away too much resources into it.,neutral
"Given that the claimed success rate was for ""creative"" work I'm willing to bet that the actual success rate was closer to 0% and their bar for what is acceptable as creative work was super low. Even in video and image generation, it still suffers from the same inconsistencies when you scale it up to longer formats. And even AI voices are easily detectable when you listen for longer than a minute. It doesn't understand context and the end product is bland and far inferior to human made work. The Coke ad is a prime example of it. There's a difference between generating fake footage that can fool your grandma and actual creative work.",positive
I see AI as a glorified internet search... nothing more.,positive
"Ugh, i got told i would get that sweet UBI money while they start financial and geopolitical wars over minerals needed for more AI infrastructure and energy, and thiel even telling me the antichrist is coming and Armageddon will start soon... and now they tell me it won't happen until three seasons from now, and i will have to go to work again? I hate AI",negative
"I had been using ChatGpt, Claude, Microsoft Copilot, and other intelligent/smart A.I. chatbot software. They are sophisticated but have the mind of 6 year old or much younger that almost doesn't what it's goal are and I have to babysit this A.I. chatbot but is only intelligent because it has complete access to the Internet for a limited time to allocate data. Still A.I. chatbot is still not sophisticated as modern average humans are and let alone PhD, Master's, and Bachelor's degree holders since A.I. chatbot such as ChatGpt doesn't have any original creative human thought and lacks critical thinking or any sophisticated human-like thinking such as scientific thinking. Just regurgitation and copy and paste past knowledge from the Internet towards in their A.I chatbot software system. A.I. Chatbots do not think similar to humans, I highly doubt they are smarter or intelligent than us even though A.I. Chatbots have unlimited knowledge of information across the Internet but most of the time I have to do more babysitting to questions and specific things I need A.I. Chatbots to do and fails like 90% of the time. Without the Internet, A.I. Chatbots is like a brain dead child.",positive
Let's hope they don't fix it.,positive
I believe there are many hundreds of billions of dollars being spent foolishly and the AI Bubble will eventually burst.,negative
"In my job they tried to force me to use LLM to do translation work.
After I showed them that job that normally took 2-3h now took 6-7h and quality didn't improve (I also catalogued all the mistakes it made and all the hoops I had to jump to make it work) enthusiasm died really fast.",negative
"As I understand those companies alredy work on new architectures. Reasoning models and reinforcment learning techniques already improved capabilities, but as far as I know they are still in the ""labs"".",positive
"Common not-understanding, and this is intended, this is the base of the AI bubble. Today's AI is NOT INTELLIGENT. It is basically a search engine. A very good one, but is is still a search engine, just like what Google developed to search the internet.
Reminds me of Obi van Kenobi saying that the ability to speak doesn't mean that Jar Jar is intelligent - but while Jar Jar was intelligent, even if not very intelligent, AI can speak, but is not intelligent.",positive
"Yeah that is a skill issue, you just need to write better prompts! /s",positive
"The issue seems to stem from limitations in tool callings rather than the AI's intelligence itself. The real world isn't yet optimized for AI, which explains why AI excels at coding. This is because a single program can interact with nearly every programming language.",positive
"Because it's not about money, it's about the immense amount of pure unadulterated HATE CEOs and politicians have for their population, to the point that they're ready to sacrifice themselves to see our end.",negative
"I’d love to see the study done again with the third option of humans using AI, and a comparison of both success rate and task completion time between human, AI and humans using AI.",positive
"Finally, the AI scam is coming to light. AI has nothing to do with intelligence. Never has a term been so misnamed.",negative
Hope this ai bubble ends soon. Speaking for all gamers 😢,negative
"it's funny that LLMs aren't even the AI the CEOs think it is.
the AI that can operate by itself and have at least some kind of consciousness and self-awareness is AGI, which isn't coming anytime soon",positive
"This ONLY proves we don't have AGI yet, which we already knew.",neutral
"Chatgpt made me dumber 😢 and it hallucinates a lot, which makes things worse",negative
"What does the study mean?

Nothing because of the rate at which these things are improving.

A study like this will rapidly only become of historical interest and is of zero value when it comes to what these models will be capable of in three, six months, one year, two years, five years.

Those who wish to believe otherwise won't find comfort from this study for very long. It will soon age like sour milk.",positive
The exponential in the advances AI LLMs is slowing down. But thats just this paradigm. The next paradigm will be AGI.,neutral
AI with human supervision could already wipe out a lot of jobs.,neutral
AI destroy human at chess.  AI is better.,negative
This study was heavily flawed lol....AI already can do better than what most humans do like what?,positive
They made a compressed human pattern recognitizer. Who wastes more energy wow. A unpractical tool that truly first time in humanity. 😂,positive
AI is still just a computer that undeniably follows computing arithmetic and logic many times,neutral
AI has been an incredibly helpful tool at work for everyone including non tech folks...i dig it,positive
"There's an old business expression from the 1990's, relating to the computer business; ""Only trust a computer salesman as far as you can throw the hardware!"" Is AI, and the accompanying automation and robotics, going change the World? Absolutely! But these AI companies also have an immediate agenda; raise as much money as possible to continue their software development programs, build-out their massive data-centers, and the energy generation infrastructure necessary to power those centers! The potential for incredible technological advancement is real, but there's also a lot of ""hype"" and ""unknowns"", too. There also another truism which dates back thousands of years: ""Caveat Emptor"" (Let the buyer beware)",positive
Another data point to support ai is a bubble from the stock market point of view...,positive
"For my philosophy nerds out there:  John Searle was 100% right.  

For those who aren't philosophy nerds:  (this is a rough and broad analysis, but good enough for the comment section of YouTube) The famous Turing Test, from the equally famous Alan Turning, posited that if someone spoke to an unknown ""person"", and could not discern which answers were from a human, and which from a computer, then that computer is ""intelligent"".  John Searle criticized this, by positing the ""Chinese Room"" thought experiment. In this room sits a man who speaks only English, but is given a very large book with a set of instructions of how to translate various Chinese symbols it receives as input, into a specific output.  He claimed that the man in the room has no actual intelligence in regards to what is coming in, nor going out.  He simply knows his instructions, and follows them.  He is engaging in mindless symbol manipulation, nothing more.  However, to the hypothetical Chinese speaker on the outside, it seems as though the Chinese Room is an intelligent being.  They are able to have conversations,  ask detailed questions, ask for advice, and get convincing answers.  We're seeing exactly this with the current iteration of AI.  It has no intelligence, understands neither what it is being asked, nor what it produces, which is why it consistently makes illegal moves in Chess, despite Chess being highly regimented with specific rules, that even an amateur could figure out how not to make such illegal moves.  

John Searle was 100% right in his critique of the Turing Test as the test of artificial intelligence, and we're seeing it play out live.",negative
Half way through the video but I don’t understand what consider automation tasks to benchmark?! I wouldn’t rely on LLMa entirely to automate my day job whatever may it be. For which real world use cases (there are so many) does the Failure rate apply?,negative
My main AI exp is in vibe coding and AI assisted scientific writing. The difference between august 25 and December was huge. So I expect this 4pct to climb exponentially. They should repeat this study over and over and they should include non technically skilled AI assisted users. AI may not replace human labor but it sure as hell will put enormous pressure on salaries as any person with smart glasses will soon be a plumber.,negative
what is the ai software @ 4:16?  I've not seen that one before,neutral
"As long as AIs forget due to lack of storage, we're safe",negative
"Interesting, but I have to doubt the claim that AI is good in image generation. As we have seen in recent months from marketing material etc, AI generated contents are immediately recognized as such and often have embarrassing problems that professionally created human content would not have.
One very recent example would be the olympic games where they generated some images containing errors in the official logo. Or a marketing video of a wrestling organization where their guy is wearing a belt with their competitor's logo. Those were officially published without anyone even checking apparently.
Saying the tech is on par with humans when you lower the quality standards is a bit questionable imo. I have experimented with image generation myself and none of the ""usable"" content was ever good enough after the first stage without further modification. With videos it's probably hopeless, though the cost difference there is so big for short clips that it might not matter.",negative
"How is this guy missing the point?? When they say AI is replacing jobs (which it is) it means that one human assisted with AI can now do the work of an entire team. In a not too distant future it might even do without the supervising human, but the loss of jobs at that point will be marginal. The larger chunk of jobs lost is happening now.",negative
Ai is 96% wrong! If this is true then how the heck are so many investors still paying for ai? Or is it only the billionaires creating ai investing because they have a plan to screw us over to make more money from us later on? 🤷‍♀️,positive
guess that's it for ai now,neutral
"""And after another trillion dollars we will get it up 94!"" ""Why not build some schools for that?"" ""Silence luddite! The future is steel and silicone! Not your weak flesh!"" ""Steel making shitty meme pictures?"" ""Well, mostly yes.""",positive
You actually chuckled at the end there… thanks for your faith in us.,positive
Legendary refresh pull,neutral
"If you think modern AI is useless then you're just not very good at utilizing them. They can make mistakes but they can also solve complex problems. What they're really good at is speeding you up, if you know how to use them.",negative
"I love how the second person at the beginning of the video says he wants to create AI to solve climate change when in fact AI data centers are one of the contributors to the climate change problem. He also said he wanted to solve the problems facing humanity, guess what, one of the problems facing humanity is unemployment, And AI is becoming one of the sources of unemployment, it's the same as people making public service videos. Where he says ""kids don't do drugs"" while smoking weed",negative
Uh no...AI IS A LIFESAVER. WITHOUT IT..I AM SCREWED..ITS  ATOOL..U NEED TO KNOW HOW TO USE IT..,positive
"Nice
Of all people let's replace the already starving artist
Great advice",positive
I gave chatgpt my short novel to critique and it started talking about a whole other story. Literally pulled stuff out of its ass just because it had to provide an answer but couldn't read my novel.,negative
"How was the study done? It depends. If you ask an elephant to climb a tree it won't be able to.

I use ai at work and it does work. But thinking that ai is failing all work is ludicrous",negative
8:10 What is he talking about?  Chess was one of the first successes and is a great example of successful AI.,positive
I had no idea the numbers were so low.,negative
"Not really! LLMs augments someone capable by X times. Save some so much time, it’s ridiculous. This is more of a skill issue. The study is probably based in LLMs from 12 or 18 months ago, they are way better today",positive
The calculator got smarter,positive
Our relationship with AI is supposed to be a synergy not AI doing all the work.,neutral
Also Google DeepThink literally next day,neutral
"AI in practical office work is like an enthusiasic first grade intern. Sometimes genius strokes, sometimes fun but most the time rubbish work and annoyingly clueless. You would not give him more than a lunch invitation for salary and not give him important work if not closely monitored by a seasoned human professional.",negative
"You're basically complaining about 14.4k dial up internet, this video is stupid.",negative
The thumbnail was Ai generated :). FRELANCER?,neutral
Well my company is heavily investing in AI I think it's time to email my ceo.,positive
"The number of people I run into that try to use LLMs (it's not AI, that's marketing hype) as research or a source of trust is baffling. They have 0 understanding that these tools just make up junk all the time. These people are lazy. Too lazy to even cross check the results, because it tells them what they want to hear because their prompts sow the seeds of their bias.",negative
"I think pure llm-s are a deadend, they are as good as they will be already. We need other structures behind it. Ai is now used for scams and web scraping successfully, but that's not useful for humanity yet",negative
11:00 Yann LeCun is right multiple generations of AI creations have failed and throwing money at it won't solve it.,negative
"It doesn't mean AI is useless, it just means it needs more than 1 iterations to reach the desired output.",negative
"Well the focus on performing jobs is starting now, in 18 months it might be at 50% and improving.",positive
"AI shills will tell you that you're just using it wrong and you have to use their special incantation if you want good results, like they're some kind of special user that knows how to use an LLM, when in fact they like LLMs precisely because they are too simple minded to earn actual domain expertise",positive
I think the worst part about AI is that one of if not the thing it's best at is lying convincingly,negative
"PFFTTT

they themselves dumbed down their AI into oblivion with their guardrails.
i have to say, ai can do their job well, IF guided by people that can also do their job.

the people behind the ai corpos cant do their job well",positive
"Why do you think they called it ""hallucination"" instead of what it actually is, they're ERRORS, plain and simple. Even the term ""AI"" is just marketing for ""LLM""",negative
"Oh, I have been waiting a long time for this crash and burn of OpenΑI. I hate that wizzle ceo (SamA).",negative
"Im so happy this is happening. I thought AI would be great, then realized wait a minute if everything was just done for me, id be a depressed zombie. Let's stop this madness and start focusing on making ourselves smarter rather than machines",positive
I hope AI never works smarter than humans.,positive
"When you google it goes through AI. Very infrequently I get answers that I don't think seem right so I then try a search using Brave which seems to show about 10% of my doubts have at least some validity.
I've found that AI sometimes ""hears"" you incorrectly eg I was looking for data on a Colorado RC and it gave me the info for a Colorado RG.",positive
"Aren't LLMs just algorithms ? No so called AI product I've seen seems to think or truly be intelligent so dont think we're even close to ""solving"" AI in my personal opinion",positive
"This has to be one of the most brilliant videos with one of the worst conclusions in human history. You’re absolutely right that this is the only benchmark that really matters for AI—and absolutely wrong not to see that capabilities literally doubled in six months. That’s like saying, in early 2020, that COVID was nothing to worry about because only a few thousand people had it so far. Congratulations: you just made a video that will go down in history. But the good news for you is that, as you said about AI, it won’t go down in history now—only three years later.",positive
"What we need is a new model not based on deep learning, but something better that isnt generative. The idea is think, then talk, not think as you talk",positive
"Cant depend on AI to produce repeatable outcomes. Ive got tools that produce x today and cant produce anything the next day with nothing changing inbetween and exact same data inputs. Sometimes it infers from files that done exist or guesses the contents of a file. 

Eventually, I spend more time verifying and fixing making it more efficient to do things myself.",positive
@coldfusion spelling mistake at 0:30 ´Faulure´instead of ´Failure´ 😁,positive
5:52 better but still very janky and somehow i feel like im watching the work of a devil when watching these clips. There is something deeply uncanny about the movement and the characters. Something that feels like im watching a dream from a broken brain,negative
What a waste of silicon wafers.,negative
"the thing is, once it's decided that certain jobs will have to be replaced then no matter the cost in terms of money, error, efficiency and what not, they will stick to automation, because those systems usually start improving exponentially eventually... there's no comeback for human labor, jinnie is out of the bottle",positive
When you remove the detector from slits only then we can see the possibilities. Humans are the detector between AI possibility - Quantum mechanics,neutral
"All the viral leaders are morons. AI intelligence peaks on narrow tasks and skills. Models are not geometrically shaped to allow general intelligence. Neither are the reasoning guardrails. Use them as bureaucratic, mechanistic work like implementing narrow code scopes and executive summaries, not as coworkers.",positive
"The funniest claim I've heard is the AI could cure cancer. It won't. Because AI can't think for itself and make new discoveries, all it can do is take already known information and try to replicate it through processes already proven. This whole thing is a scam, they basically just made a fancy automated chatbot.",negative
"In the race to the bottm and removing the main ongoing expense of doing business ( humans / payroll ) this wont matter, most businesses willl roll it out and ignore the consequnses, just how they have with customer service, it doesnt exist any more and we can do nothing about it.... money is the new God and they will do anything to extract as much as posible and we can go whistle!",negative
Cory Doctorow compare the development of LLMs to breeding a horse to run faster and faster and expecting it to eventually give birth to a locomotive.,neutral
